,drug1,drug2,object,precipitant,severity
10513,http://bio2rdf.org/drugbank:DB00540,http://bio2rdf.org/drugbank:DB00780,NORTRIPTYLINE,Phenelzine,3
10512,http://bio2rdf.org/drugbank:DB00122,http://bio2rdf.org/drugbank:DB00883,Choline,Isosorbide_Dinitrate,1
10511,http://bio2rdf.org/drugbank:DB01175,http://bio2rdf.org/drugbank:DB00998,Escitalopram,Frovatriptan,2
10510,http://bio2rdf.org/drugbank:DB01172,http://bio2rdf.org/drugbank:DB00866,Kanamycin,Alprenolol,1
10509,http://bio2rdf.org/drugbank:DB01410,http://bio2rdf.org/drugbank:DB00991,Ciclesonide,Oxaprozin,2
10508,http://bio2rdf.org/drugbank:DB00122,http://bio2rdf.org/drugbank:DB06802,Choline,Nepafenac,1
10507,http://bio2rdf.org/drugbank:DB01255,http://bio2rdf.org/drugbank:DB01626,Lisdexamfetamine,Pargyline,3
10506,http://bio2rdf.org/drugbank:DB01432,http://bio2rdf.org/drugbank:DB00960,Cholestyramine,Pindolol, 
10505,http://bio2rdf.org/drugbank:DB00604,http://bio2rdf.org/drugbank:DB00343,Cisapride,Diltiazem,3
10504,http://bio2rdf.org/drugbank:DB00588,http://bio2rdf.org/drugbank:DB00606,Fluticasone_Propionate,Cyclothiazide,1
10503,http://bio2rdf.org/drugbank:DB00936,http://bio2rdf.org/drugbank:DB01050,Salicyclic_acid,Ibuprofen,1
10502,http://bio2rdf.org/drugbank:DB00603,http://bio2rdf.org/drugbank:DB00451,Medroxyprogesterone_Acetate,Levothyroxine,1
10501,http://bio2rdf.org/drugbank:DB00118,http://bio2rdf.org/drugbank:DB00521,S-Adenosylmethionine,Carteolol,2
10500,http://bio2rdf.org/drugbank:DB00501,http://bio2rdf.org/drugbank:DB00870,Cimetidine,Suprofen,1
10499,http://bio2rdf.org/drugbank:DB05521,http://bio2rdf.org/drugbank:DB00353,Telaprevir,Methylergometrine,3
10498,http://bio2rdf.org/drugbank:DB00963,http://bio2rdf.org/drugbank:DB00373,Bromfenac,Timolol,2
10497,http://bio2rdf.org/drugbank:DB01115,http://bio2rdf.org/drugbank:DB01093,Nifedipine,Dimethyl_sulfoxide, 
10496,http://bio2rdf.org/drugbank:DB00417,http://bio2rdf.org/drugbank:DB00823,Penicillin_V,Ethynodiol,3
10495,http://bio2rdf.org/drugbank:DB06802,http://bio2rdf.org/drugbank:DB00598,Nepafenac,Labetalol,2
10494,http://bio2rdf.org/drugbank:DB01172,http://bio2rdf.org/drugbank:DB00201,Kanamycin,Caffeine,1
10493,http://bio2rdf.org/drugbank:DB01601,http://bio2rdf.org/drugbank:DB06772,Lopinavir,Cabazitaxel,2
10492,http://bio2rdf.org/drugbank:DB01390,http://bio2rdf.org/drugbank:DB00118,Sodium_bicarbonate,S-Adenosylmethionine,1
10491,http://bio2rdf.org/drugbank:DB01026,http://bio2rdf.org/drugbank:DB01118,Ketoconazole,AMIODARONE,3
10490,http://bio2rdf.org/drugbank:DB00118,http://bio2rdf.org/drugbank:DB00866,S-Adenosylmethionine,Alprenolol,2
10489,http://bio2rdf.org/drugbank:DB00540,http://bio2rdf.org/drugbank:DB01529,Nortriptyline,Dextromoramide,1
10488,http://bio2rdf.org/drugbank:DB00939,http://bio2rdf.org/drugbank:DB00814,Meclofenamic_acid,Meloxicam,2
10487,http://bio2rdf.org/drugbank:DB00443,http://bio2rdf.org/drugbank:DB00605,Betamethasone,Sulindac,2
10486,http://bio2rdf.org/drugbank:DB00501,http://bio2rdf.org/drugbank:DB00351,Cimetidine,Megestrol_acetate,1
10485,http://bio2rdf.org/drugbank:DB01115,http://bio2rdf.org/drugbank:DB00264,Nifedipine,Metoprolol,2
10484,http://bio2rdf.org/drugbank:DB00908,http://bio2rdf.org/drugbank:DB00844,Quinidine,Nalbuphine,1
10483,http://bio2rdf.org/drugbank:DB00343,http://bio2rdf.org/drugbank:DB01580,Diltiazem,Oxprenolol,2
10482,http://bio2rdf.org/drugbank:DB01222,http://bio2rdf.org/drugbank:DB01009,Budesonide,Ketoprofen,2
10481,http://bio2rdf.org/drugbank:DB01375,http://bio2rdf.org/drugbank:DB00437,Dihydroxyaluminium,Allopurinol,1
10480,http://bio2rdf.org/drugbank:DB00304,http://bio2rdf.org/drugbank:DB00945,Desogestrel,Acetylsalicylic_acid, 
10479,http://bio2rdf.org/drugbank:DB01399,http://bio2rdf.org/drugbank:DB08439,Salsalate,parecoxib,1
10478,http://bio2rdf.org/drugbank:DB00620,http://bio2rdf.org/drugbank:DB00605,Triamcinolone,Sulindac,2
10477,http://bio2rdf.org/drugbank:DB01222,http://bio2rdf.org/drugbank:DB03585,Budesonide,Oxyphenbutazone,2
10476,http://bio2rdf.org/drugbank:DB01410,http://bio2rdf.org/drugbank:DB00214,Ciclesonide,Torasemide,1
10475,http://bio2rdf.org/drugbank:DB00509,http://bio2rdf.org/drugbank:DB00390,Dextrothyroxine,Digoxin,2
10474,http://bio2rdf.org/drugbank:DB00497,http://bio2rdf.org/drugbank:DB00367,Oxycodone,Levonorgestrel, 
10473,http://bio2rdf.org/drugbank:DB01233,http://bio2rdf.org/drugbank:DB00193,Metoclopramide,Tramadol,1
10472,http://bio2rdf.org/drugbank:DB00611,http://bio2rdf.org/drugbank:DB00898,Butorphanol,Ethanol,2
10471,http://bio2rdf.org/drugbank:DB00367,http://bio2rdf.org/drugbank:DB01628,Levonorgestrel,Etoricoxib,1
10470,http://bio2rdf.org/drugbank:DB06723,http://bio2rdf.org/drugbank:DB00469,Aluminum_hydroxide,Tenoxicam,1
10469,http://bio2rdf.org/drugbank:DB00761,http://bio2rdf.org/drugbank:DB00572,POTASSIUM_CHLORIDE,Atropine,2
10468,http://bio2rdf.org/drugbank:DB01211,http://bio2rdf.org/drugbank:DB00862,Clarithromycin,Vardenafil,2
10467,http://bio2rdf.org/drugbank:DB06724,http://bio2rdf.org/drugbank:DB00598,Calcium_carbonate,Labetalol,1
10466,http://bio2rdf.org/drugbank:DB00252,http://bio2rdf.org/drugbank:DB00446,Phenytoin,CHLORAMPHENICOL,2
10465,http://bio2rdf.org/drugbank:DB02266,http://bio2rdf.org/drugbank:DB00571,Flufenamic_Acid,Propranolol,2
10464,http://bio2rdf.org/drugbank:DB06802,http://bio2rdf.org/drugbank:DB00404,Nepafenac,Alprazolam, 
10463,http://bio2rdf.org/drugbank:DB01093,http://bio2rdf.org/drugbank:DB01021,Dimethyl_sulfoxide,Trichlormethiazide,1
10462,http://bio2rdf.org/drugbank:DB01361,http://bio2rdf.org/drugbank:DB00204,TROLEANDOMYCIN,Dofetilide,3
10461,http://bio2rdf.org/drugbank:DB01297,http://bio2rdf.org/drugbank:DB00945,Practolol,Acetylsalicylic_acid,1
10460,http://bio2rdf.org/drugbank:DB00304,http://bio2rdf.org/drugbank:DB00277,Desogestrel,Theophylline,1
10459,http://bio2rdf.org/drugbank:DB01227,http://bio2rdf.org/drugbank:DB00204,Levomethadyl_Acetate,Dofetilide,3
10458,http://bio2rdf.org/drugbank:DB01234,http://bio2rdf.org/drugbank:DB00673,DEXAMETHASONE,Aprepitant,2
10457,http://bio2rdf.org/drugbank:DB00908,http://bio2rdf.org/drugbank:DB00501,Quinidine,Cimetidine,2
10456,http://bio2rdf.org/drugbank:DB00717,http://bio2rdf.org/drugbank:DB00854,Norethindrone,Levorphanol, 
10455,http://bio2rdf.org/drugbank:DB06725,http://bio2rdf.org/drugbank:DB00489,Lornoxicam,Sotalol,2
10454,http://bio2rdf.org/drugbank:DB01399,http://bio2rdf.org/drugbank:DB01093,Salsalate,Dimethyl_sulfoxide,1
10453,http://bio2rdf.org/drugbank:DB06723,http://bio2rdf.org/drugbank:DB01093,Aluminum_hydroxide,Dimethyl_sulfoxide,1
10452,http://bio2rdf.org/drugbank:DB00802,http://bio2rdf.org/drugbank:DB00294,Alfentanil,Etonogestrel, 
10451,http://bio2rdf.org/drugbank:DB01015,http://bio2rdf.org/drugbank:DB00367,Sulfamethoxazole,Levonorgestrel,1
10450,http://bio2rdf.org/drugbank:DB01375,http://bio2rdf.org/drugbank:DB00313,Dihydroxyaluminium,Valproic_Acid,1
10449,http://bio2rdf.org/drugbank:DB00252,http://bio2rdf.org/drugbank:DB00196,Phenytoin,Fluconazole,2
10448,http://bio2rdf.org/drugbank:DB00936,http://bio2rdf.org/drugbank:DB00936,Salicyclic_acid,Salicyclic_acid,1
10447,http://bio2rdf.org/drugbank:DB00509,http://bio2rdf.org/drugbank:DB00195,Dextrothyroxine,Betaxolol,1
10446,http://bio2rdf.org/drugbank:DB00741,http://bio2rdf.org/drugbank:DB00870,Hydrocortisone,Suprofen,2
10445,http://bio2rdf.org/drugbank:DB00717,http://bio2rdf.org/drugbank:DB00394,Norethindrone,Beclomethasone,1
10444,http://bio2rdf.org/drugbank:DB01203,http://bio2rdf.org/drugbank:DB01399,Nadolol,Salsalate,1
10443,http://bio2rdf.org/drugbank:DB01296,http://bio2rdf.org/drugbank:DB01197,Glucosamine,Captopril,2
10442,http://bio2rdf.org/drugbank:DB00264,http://bio2rdf.org/drugbank:DB00436,Metoprolol,Bendroflumethiazide,1
10441,http://bio2rdf.org/drugbank:DB06723,http://bio2rdf.org/drugbank:DB00264,Aluminum_hydroxide,Metoprolol,1
10440,http://bio2rdf.org/drugbank:DB01297,http://bio2rdf.org/drugbank:DB00277,Practolol,Theophylline,2
10439,http://bio2rdf.org/drugbank:DB01628,http://bio2rdf.org/drugbank:DB00310,Etoricoxib,Chlorthalidone,1
10438,http://bio2rdf.org/drugbank:DB00999,http://bio2rdf.org/drugbank:DB01356,Hydrochlorothiazide,Lithium,2
10437,http://bio2rdf.org/drugbank:DB01297,http://bio2rdf.org/drugbank:DB01233,Practolol,Metoclopramide, 
10436,http://bio2rdf.org/drugbank:DB01604,http://bio2rdf.org/drugbank:DB00521,Pivampicillin,Carteolol,1
10435,http://bio2rdf.org/drugbank:DB06725,http://bio2rdf.org/drugbank:DB00436,Lornoxicam,Bendroflumethiazide,1
10434,http://bio2rdf.org/drugbank:DB00741,http://bio2rdf.org/drugbank:DB01628,Hydrocortisone,Etoricoxib,2
10433,http://bio2rdf.org/drugbank:DB04828,http://bio2rdf.org/drugbank:DB00571,Zomepirac,Propranolol,2
10432,http://bio2rdf.org/drugbank:DB00598,http://bio2rdf.org/drugbank:DB01345,Labetalol,Potassium,1
10431,http://bio2rdf.org/drugbank:DB01222,http://bio2rdf.org/drugbank:DB00482,Budesonide,Celecoxib,2
10430,http://bio2rdf.org/drugbank:DB06802,http://bio2rdf.org/drugbank:DB00606,Nepafenac,Cyclothiazide,1
10429,http://bio2rdf.org/drugbank:DB00565,http://bio2rdf.org/drugbank:DB00479,Cisatracurium_Besylate,Amikacin,2
10428,http://bio2rdf.org/drugbank:DB00295,http://bio2rdf.org/drugbank:DB01171,Morphine,Moclobemide,3
10427,http://bio2rdf.org/drugbank:DB00603,http://bio2rdf.org/drugbank:DB01580,Medroxyprogesterone_Acetate,Oxprenolol,1
10426,http://bio2rdf.org/drugbank:DB04743,http://bio2rdf.org/drugbank:DB00584,Nimesulide,Enalapril,2
10425,http://bio2rdf.org/drugbank:DB00605,http://bio2rdf.org/drugbank:DB00883,Sulindac,Isosorbide_Dinitrate,1
10424,http://bio2rdf.org/drugbank:DB00573,http://bio2rdf.org/drugbank:DB01359,Fenoprofen,Penbutolol,2
10423,http://bio2rdf.org/drugbank:DB00697,http://bio2rdf.org/drugbank:DB00717,Tizanidine,NORETHINDRONE,2
10422,http://bio2rdf.org/drugbank:DB01604,http://bio2rdf.org/drugbank:DB00866,Pivampicillin,Alprenolol,1
10421,http://bio2rdf.org/drugbank:DB00319,http://bio2rdf.org/drugbank:DB08808,Piperacillin,Bupranolol,1
10420,http://bio2rdf.org/drugbank:DB08439,http://bio2rdf.org/drugbank:DB00880,parecoxib,Chlorothiazide,1
10419,http://bio2rdf.org/drugbank:DB00122,http://bio2rdf.org/drugbank:DB00963,Choline,Bromfenac,1
10418,http://bio2rdf.org/drugbank:DB00193,http://bio2rdf.org/drugbank:DB01171,Tramadol,Moclobemide,3
10417,http://bio2rdf.org/drugbank:DB01053,http://bio2rdf.org/drugbank:DB00571,Benzylpenicillin,Propranolol,1
10416,http://bio2rdf.org/drugbank:DB00603,http://bio2rdf.org/drugbank:DB00860,Medroxyprogesterone_Acetate,Prednisolone,1
10415,http://bio2rdf.org/drugbank:DB01193,http://bio2rdf.org/drugbank:DB01021,Acebutolol,Trichlormethiazide,1
10414,http://bio2rdf.org/drugbank:DB00501,http://bio2rdf.org/drugbank:DB00611,Cimetidine,Butorphanol,2
10413,http://bio2rdf.org/drugbank:DB00861,http://bio2rdf.org/drugbank:DB01053,Diflunisal,Benzylpenicillin,1
10412,http://bio2rdf.org/drugbank:DB06724,http://bio2rdf.org/drugbank:DB00537,Calcium_carbonate,Ciprofloxacin,1
10411,http://bio2rdf.org/drugbank:DB00232,http://bio2rdf.org/drugbank:DB00682,Methyclothiazide,Warfarin, 
10410,http://bio2rdf.org/drugbank:DB01247,http://bio2rdf.org/drugbank:DB00315,ISOCARBOXAZID,Zolmitriptan,3
10409,http://bio2rdf.org/drugbank:DB01082,http://bio2rdf.org/drugbank:DB00416,Streptomycin,Metocurine_Iodide,2
10408,http://bio2rdf.org/drugbank:DB01147,http://bio2rdf.org/drugbank:DB00264,Cloxacillin,Metoprolol,1
10407,http://bio2rdf.org/drugbank:DB00404,http://bio2rdf.org/drugbank:DB01296,Alprazolam,Glucosamine, 
10406,http://bio2rdf.org/drugbank:DB01172,http://bio2rdf.org/drugbank:DB01296,Kanamycin,Glucosamine,1
10405,http://bio2rdf.org/drugbank:DB00960,http://bio2rdf.org/drugbank:DB00451,Pindolol,Levothyroxine,1
10404,http://bio2rdf.org/drugbank:DB01397,http://bio2rdf.org/drugbank:DB00712,Magnesium_salicylate,Flurbiprofen,1
10403,http://bio2rdf.org/drugbank:DB01432,http://bio2rdf.org/drugbank:DB00390,Cholestyramine,Digoxin,2
10402,http://bio2rdf.org/drugbank:DB04743,http://bio2rdf.org/drugbank:DB00187,Nimesulide,Esmolol,2
10401,http://bio2rdf.org/drugbank:DB00764,http://bio2rdf.org/drugbank:DB00436,Mometasone,Bendroflumethiazide,1
10400,http://bio2rdf.org/drugbank:DB00814,http://bio2rdf.org/drugbank:DB04861,Meloxicam,Nebivolol,2
10399,http://bio2rdf.org/drugbank:DB01390,http://bio2rdf.org/drugbank:DB00814,Sodium_bicarbonate,Meloxicam,1
10398,http://bio2rdf.org/drugbank:DB00304,http://bio2rdf.org/drugbank:DB00451,Desogestrel,Levothyroxine,1
10397,http://bio2rdf.org/drugbank:DB00963,http://bio2rdf.org/drugbank:DB00489,Bromfenac,Sotalol,2
10396,http://bio2rdf.org/drugbank:DB00195,http://bio2rdf.org/drugbank:DB00232,Betaxolol,Methyclothiazide,1
10395,http://bio2rdf.org/drugbank:DB00612,http://bio2rdf.org/drugbank:DB00863,Bisoprolol,Ranitidine, 
10394,http://bio2rdf.org/drugbank:DB01151,http://bio2rdf.org/drugbank:DB00496,Desipramine,Darifenacin,2
10393,http://bio2rdf.org/drugbank:DB08797,http://bio2rdf.org/drugbank:DB00252,Salicylamide,Phenytoin, 
10392,http://bio2rdf.org/drugbank:DB01606,http://bio2rdf.org/drugbank:DB01193,Tazobactam,Acebutolol,1
10391,http://bio2rdf.org/drugbank:DB00501,http://bio2rdf.org/drugbank:DB00580,Cimetidine,Valdecoxib,1
10390,http://bio2rdf.org/drugbank:DB00509,http://bio2rdf.org/drugbank:DB00598,Dextrothyroxine,Labetalol,1
10389,http://bio2rdf.org/drugbank:DB00939,http://bio2rdf.org/drugbank:DB00384,Meclofenamic_acid,Triamterene,2
10388,http://bio2rdf.org/drugbank:DB00294,http://bio2rdf.org/drugbank:DB00870,Etonogestrel,Suprofen,1
10387,http://bio2rdf.org/drugbank:DB00936,http://bio2rdf.org/drugbank:DB00187,Salicyclic_acid,Esmolol,2
10386,http://bio2rdf.org/drugbank:DB01628,http://bio2rdf.org/drugbank:DB00264,Etoricoxib,Metoprolol,2
10385,http://bio2rdf.org/drugbank:DB00814,http://bio2rdf.org/drugbank:DB01235,Meloxicam,L-DOPA,1
10384,http://bio2rdf.org/drugbank:DB00880,http://bio2rdf.org/drugbank:DB01373,Chlorothiazide,Calcium,2
10383,http://bio2rdf.org/drugbank:DB00578,http://bio2rdf.org/drugbank:DB00814,Carbenicillin,Meloxicam,1
10382,http://bio2rdf.org/drugbank:DB01432,http://bio2rdf.org/drugbank:DB00620,Cholestyramine,Triamcinolone,1
10381,http://bio2rdf.org/drugbank:DB00697,http://bio2rdf.org/drugbank:DB01118,Tizanidine,AMIODARONE,2
10380,http://bio2rdf.org/drugbank:DB01373,http://bio2rdf.org/drugbank:DB00233,Calcium,Aminosalicylic_Acid,1
10379,http://bio2rdf.org/drugbank:DB00690,http://bio2rdf.org/drugbank:DB00363,Flurazepam,CLOZAPINE,2
10378,http://bio2rdf.org/drugbank:DB00540,http://bio2rdf.org/drugbank:DB00501,NORTRIPTYLINE,Cimetidine,2
10377,http://bio2rdf.org/drugbank:DB00963,http://bio2rdf.org/drugbank:DB00436,Bromfenac,Bendroflumethiazide,1
10376,http://bio2rdf.org/drugbank:DB00898,http://bio2rdf.org/drugbank:DB06709,Ethanol,Methacholine,2
10375,http://bio2rdf.org/drugbank:DB00295,http://bio2rdf.org/drugbank:DB04820,Morphine,Nialamide,3
10374,http://bio2rdf.org/drugbank:DB08795,http://bio2rdf.org/drugbank:DB01172,Azidocillin,Kanamycin,3
10373,http://bio2rdf.org/drugbank:DB00367,http://bio2rdf.org/drugbank:DB00647,Levonorgestrel,Dextropropoxyphene, 
10372,http://bio2rdf.org/drugbank:DB00647,http://bio2rdf.org/drugbank:DB00603,Dextropropoxyphene,Medroxyprogesterone_Acetate, 
10371,http://bio2rdf.org/drugbank:DB00533,http://bio2rdf.org/drugbank:DB01021,Rofecoxib,Trichlormethiazide,1
10370,http://bio2rdf.org/drugbank:DB00584,http://bio2rdf.org/drugbank:DB00571,Enalapril,Propranolol, 
10369,http://bio2rdf.org/drugbank:DB01397,http://bio2rdf.org/drugbank:DB01050,Magnesium_salicylate,Ibuprofen,1
10368,http://bio2rdf.org/drugbank:DB00246,http://bio2rdf.org/drugbank:DB00714,Ziprasidone,Apomorphine,2
10367,http://bio2rdf.org/drugbank:DB00193,http://bio2rdf.org/drugbank:DB04820,Tramadol,Nialamide,3
10366,http://bio2rdf.org/drugbank:DB01580,http://bio2rdf.org/drugbank:DB00774,Oxprenolol,Hydroflumethiazide,1
10365,http://bio2rdf.org/drugbank:DB01432,http://bio2rdf.org/drugbank:DB00195,Cholestyramine,Betaxolol, 
10364,http://bio2rdf.org/drugbank:DB01233,http://bio2rdf.org/drugbank:DB00814,Metoclopramide,Meloxicam, 
10363,http://bio2rdf.org/drugbank:DB04552,http://bio2rdf.org/drugbank:DB01356,Niflumic_Acid,Lithium,2
10362,http://bio2rdf.org/drugbank:DB01390,http://bio2rdf.org/drugbank:DB04828,Sodium_bicarbonate,Zomepirac,1
10361,http://bio2rdf.org/drugbank:DB00351,http://bio2rdf.org/drugbank:DB00921,Megestrol_acetate,Buprenorphine, 
10360,http://bio2rdf.org/drugbank:DB01115,http://bio2rdf.org/drugbank:DB00960,Nifedipine,Pindolol,2
10359,http://bio2rdf.org/drugbank:DB01399,http://bio2rdf.org/drugbank:DB00421,Salsalate,Spironolactone,1
10358,http://bio2rdf.org/drugbank:DB00286,http://bio2rdf.org/drugbank:DB00180,Conjugated_Estrogens,Flunisolide,1
10357,http://bio2rdf.org/drugbank:DB00866,http://bio2rdf.org/drugbank:DB00404,Alprenolol,Alprazolam,1
10356,http://bio2rdf.org/drugbank:DB00443,http://bio2rdf.org/drugbank:DB08797,Betamethasone,Salicylamide,2
10355,http://bio2rdf.org/drugbank:DB00233,http://bio2rdf.org/drugbank:DB00712,Aminosalicylic_Acid,Flurbiprofen,1
10354,http://bio2rdf.org/drugbank:DB00214,http://bio2rdf.org/drugbank:DB00204,Torasemide,Dofetilide,2
10353,http://bio2rdf.org/drugbank:DB02443,http://bio2rdf.org/drugbank:DB00717,Methicillin_Acyl-Serine,Norethindrone,3
10352,http://bio2rdf.org/drugbank:DB00620,http://bio2rdf.org/drugbank:DB08797,Triamcinolone,Salicylamide,2
10351,http://bio2rdf.org/drugbank:DB00195,http://bio2rdf.org/drugbank:DB00540,Betaxolol,Nortriptyline,1
10350,http://bio2rdf.org/drugbank:DB06803,http://bio2rdf.org/drugbank:DB02266,Niclosamide,Flufenamic_Acid,1
10349,http://bio2rdf.org/drugbank:DB00308,http://bio2rdf.org/drugbank:DB00204,Ibutilide,Dofetilide,3
10348,http://bio2rdf.org/drugbank:DB00537,http://bio2rdf.org/drugbank:DB06724,Ciprofloxacin,Calcium_carbonate, 
10347,http://bio2rdf.org/drugbank:DB08439,http://bio2rdf.org/drugbank:DB00999,parecoxib,Hydrochlorothiazide,1
10346,http://bio2rdf.org/drugbank:DB00684,http://bio2rdf.org/drugbank:DB00319,Tobramycin,PIPERACILLIN,2
10345,http://bio2rdf.org/drugbank:DB00443,http://bio2rdf.org/drugbank:DB00586,Betamethasone,Diclofenac,2
10344,http://bio2rdf.org/drugbank:DB00861,http://bio2rdf.org/drugbank:DB00500,Diflunisal,Tolmetin,1
10343,http://bio2rdf.org/drugbank:DB00415,http://bio2rdf.org/drugbank:DB00187,Ampicillin,Esmolol,1
10342,http://bio2rdf.org/drugbank:DB01222,http://bio2rdf.org/drugbank:DB01345,Budesonide,Potassium,2
10341,http://bio2rdf.org/drugbank:DB01373,http://bio2rdf.org/drugbank:DB00713,Calcium,Oxacillin,1
10340,http://bio2rdf.org/drugbank:DB00620,http://bio2rdf.org/drugbank:DB00586,Triamcinolone,Diclofenac,2
